Year,Anomaly,Region
189009,-0.84,africa
189010,-0.35,africa
189011,-0.19,africa
189012,-0.2,africa
189101,-0.17,africa
189102,-1.42,africa
189103,-0.66,africa
189104,-0.03,africa
189105,0.24,africa
189106,0.15,africa
189107,0.89,africa
189108,-0.12,africa
189109,0.0,africa
189110,0.27,africa
189111,-0.15,africa
189112,-0.53,africa
189201,-0.31,africa
189202,-0.14,africa
189203,0.11,africa
189204,-0.31,africa
189205,-0.69,africa
189206,-0.18,africa
189207,-0.4,africa
189208,-0.25,africa
189209,-0.27,africa
189210,-0.89,africa
189211,-0.31,africa
189212,-0.24,africa
189301,-0.03,africa
189302,-0.63,africa
189303,-1.51,africa
189304,-0.78,africa
189305,-0.66,africa
189306,-0.43,africa
189307,-0.52,africa
189308,-0.13,africa
189309,-0.54,africa
189310,-0.36,africa
189311,-0.32,africa
189312,0.05,africa
189401,0.16,africa
189402,-0.6,africa
189403,-0.33,africa
189404,-0.47,africa
189405,0.02,africa
189406,-0.75,africa
189407,0.14,africa
189408,0.29,africa
189409,-0.01,africa
189410,-0.03,africa
189411,0.05,africa
189412,-0.53,africa
189501,0.34,africa
189502,0.6,africa
189503,-0.26,africa
189504,0.2,africa
189505,0.03,africa
189506,-0.59,africa
189507,0.26,africa
189508,-0.05,africa
189509,-0.65,africa
189510,-0.48,africa
189511,-0.02,africa
189512,0.07,africa
189601,0.39,africa
189602,0.32,africa
189603,-0.01,africa
189604,-0.28,africa
189605,-0.63,africa
189606,0.21,africa
189607,0.39,africa
189608,0.03,africa
189609,-0.31,africa
189610,0.13,africa
189611,-0.01,africa
189612,0.31,africa
189701,0.27,africa
189702,-0.19,africa
189703,-0.34,africa
189704,0.15,africa
189705,-0.22,africa
189706,0.52,africa
189707,0.34,africa
189708,0.6,africa
189709,-0.06,africa
189710,0.0,africa
189711,0.14,africa
189712,0.1,africa
189801,-1.2,africa
189802,-0.88,africa
189803,0.26,africa
189804,-0.45,africa
189805,-0.1,africa
189806,-0.04,africa
189807,0.46,africa
189808,0.05,africa
189809,-0.12,africa
189810,0.62,africa
189811,-0.08,africa
189812,-0.11,africa
189901,-0.14,africa
189902,0.01,africa
189903,0.07,africa
189904,-0.15,africa
189905,-0.44,africa
189906,-0.33,africa
189907,0.38,africa
189908,0.48,africa
189909,0.7,africa
189910,0.18,africa
189911,-0.04,africa
189912,0.67,africa
190001,-0.12,africa
190002,0.38,africa
190003,0.1,africa
190004,-0.29,africa
190005,0.16,africa
190006,0.39,africa
190007,0.04,africa
190008,-0.03,africa
190009,-0.34,africa
190010,-0.08,africa
190011,0.03,africa
190012,0.13,africa
190101,0.22,africa
190102,0.48,africa
190103,0.68,africa
190104,0.69,africa
190105,0.04,africa
190106,0.25,africa
190107,-0.14,africa
190108,-0.04,africa
190109,-0.27,africa
190110,-0.16,africa
190111,-0.1,africa
190112,0.06,africa
190201,-0.57,africa
190202,0.2,africa
190203,0.19,africa
190204,0.41,africa
190205,0.16,africa
190206,0.24,africa
190207,0.58,africa
190208,0.58,africa
190209,-0.39,africa
190210,-0.09,africa
190211,0.14,africa
190212,0.4,africa
190301,0.09,africa
190302,-1.41,africa
190303,-0.26,africa
190304,0.15,africa
190305,0.17,africa
190306,-0.22,africa
190307,-0.37,africa
190308,-0.23,africa
190309,-0.57,africa
190310,-1.02,africa
190311,-0.61,africa
190312,-0.68,africa
190401,-0.32,africa
190402,-0.6,africa
190403,-0.44,africa
190404,-0.76,africa
190405,-0.96,africa
190406,-0.41,africa
190407,-0.55,africa
190408,-0.38,africa
190409,-0.34,africa
190410,-0.32,africa
190411,-0.13,africa
190412,-0.25,africa
190501,-0.53,africa
190502,-0.55,africa
190503,-0.35,africa
190504,-0.16,africa
190505,-0.39,africa
190506,-0.03,africa
190507,0.08,africa
190508,-0.29,africa
190509,-0.22,africa
190510,0.01,africa
190511,0.3,africa
190512,0.15,africa
190601,0.05,africa
190602,0.01,africa
190603,-0.03,africa
190604,-0.13,africa
190605,-0.24,africa
190606,-0.4,africa
190607,-0.31,africa
190608,-0.4,africa
190609,-0.05,africa
190610,-0.06,africa
190611,-0.25,africa
190612,-0.17,africa
190701,-0.21,africa
190702,-0.72,africa
190703,-0.95,africa
190704,-0.85,africa
190705,-0.5,africa
190706,-0.5,africa
190707,-0.36,africa
190708,-0.59,africa
190709,-0.44,africa
190710,-0.29,africa
190711,0.06,africa
190712,-0.57,africa
190801,-0.46,africa
190802,-0.69,africa
190803,-0.16,africa
190804,-0.54,africa
190805,-0.2,africa
190806,0.03,africa
190807,-0.1,africa
190808,-0.18,africa
190809,0.09,africa
190810,-0.08,africa
190811,-0.43,africa
190812,-0.62,africa
190901,-0.61,africa
190902,0.01,africa
190903,0.59,africa
190904,-0.63,africa
190905,-0.27,africa
190906,-0.55,africa
190907,-0.4,africa
190908,-0.23,africa
190909,-0.25,africa
190910,-0.19,africa
190911,0.2,africa
190912,0.05,africa
191001,-0.6,africa
191002,0.08,africa
191003,-0.75,africa
191004,-0.07,africa
191005,-0.3,africa
191006,-0.31,africa
191007,-0.18,africa
191008,-0.13,africa
191009,-0.42,africa
191010,-0.54,africa
191011,-0.55,africa
191012,-0.48,africa
191101,-0.33,africa
191102,-0.66,africa
191103,-0.26,africa
191104,-0.46,africa
191105,-0.66,africa
191106,-0.69,africa
191107,-0.61,africa
191108,-0.67,africa
191109,-0.29,africa
191110,-0.15,africa
191111,-0.22,africa
191112,-0.08,africa
191201,-0.06,africa
191202,0.02,africa
191203,-0.27,africa
191204,-0.03,africa
191205,0.23,africa
191206,-0.32,africa
191207,-0.32,africa
191208,-0.33,africa
191209,-0.5,africa
191210,-0.53,africa
191211,-0.45,africa
191212,-0.68,africa
191301,0.06,africa
191302,-0.27,africa
191303,-0.81,africa
191304,-0.58,africa
191305,-0.34,africa
191306,-0.32,africa
191307,0.09,africa
191308,0.0,africa
191309,0.27,africa
191310,-0.12,africa
191311,-0.44,africa
191312,-0.3,africa
191401,0.36,africa
191402,-0.43,africa
191403,-0.05,africa
191404,-0.16,africa
191405,0.17,africa
191406,-0.02,africa
191407,-0.22,africa
191408,-0.38,africa
191409,-0.09,africa
191410,0.16,africa
191411,0.48,africa
191412,-0.44,africa
191501,-0.2,africa
191502,-0.38,africa
191503,0.58,africa
