Date,Anomaly,Region
189903,0.44,asia
189904,-0.33,asia
189905,-0.17,asia
189906,-0.3,asia
189907,-0.3,asia
189908,-0.11,asia
189909,0.06,asia
189910,0.2,asia
189911,0.07,asia
189912,-1.02,asia
190001,-3.48,asia
190002,-1.07,asia
190003,0.35,asia
190004,-0.72,asia
190005,0.19,asia
190006,-0.47,asia
190007,-0.18,asia
190008,0.08,asia
190009,-0.1,asia
190010,0.01,asia
190011,-0.11,asia
190012,-0.09,asia
190101,-1.04,asia
190102,0.04,asia
190103,1.35,asia
190104,0.41,asia
190105,-0.18,asia
190106,0.1,asia
190107,-0.27,asia
190108,-0.17,asia
190109,-0.46,asia
190110,-1.41,asia
190111,0.49,asia
190112,-0.74,asia
190201,0.26,asia
190202,0.35,asia
190203,-0.35,asia
190204,-1.54,asia
190205,-0.78,asia
190206,-0.2,asia
190207,-0.43,asia
190208,-0.25,asia
190209,-0.34,asia
190210,-1.16,asia
190211,-1.74,asia
190212,-1.03,asia
190301,-0.31,asia
190302,1.45,asia
190303,-0.68,asia
190304,-0.99,asia
190305,-0.62,asia
190306,-0.65,asia
190307,-0.1,asia
190308,-0.35,asia
190309,-0.39,asia
190310,-1.15,asia
190311,-0.22,asia
190312,-1.67,asia
190401,-0.65,asia
190402,0.05,asia
190403,-0.3,asia
190404,-1.08,asia
190405,-0.46,asia
190406,-0.52,asia
190407,-0.52,asia
190408,-0.23,asia
190409,-0.81,asia
190410,-0.74,asia
190411,0.72,asia
190412,0.16,asia
190501,0.74,asia
190502,-1.73,asia
190503,-1.89,asia
190504,-1.8,asia
190505,-0.49,asia
190506,-0.54,asia
190507,-0.2,asia
190508,-0.41,asia
190509,-0.39,asia
190510,0.19,asia
190511,0.16,asia
190512,-0.34,asia
190601,-1.86,asia
190602,-1.53,asia
190603,0.29,asia
190604,0.64,asia
190605,0.06,asia
190606,0.36,asia
190607,-0.32,asia
190608,0.2,asia
190609,-0.32,asia
190610,0.1,asia
190611,-0.88,asia
190612,1.39,asia
190701,-0.31,asia
190702,-0.95,asia
190703,-0.3,asia
190704,-0.22,asia
190705,-0.76,asia
190706,-0.8,asia
190707,-0.59,asia
190708,-0.25,asia
190709,-0.17,asia
190710,-0.1,asia
190711,-1.47,asia
190712,-1.88,asia
190801,-1.43,asia
190802,-0.15,asia
190803,-1.83,asia
190804,-0.71,asia
190805,-0.26,asia
190806,0.25,asia
190807,-0.41,asia
190808,-0.22,asia
190809,-0.05,asia
190810,-0.66,asia
190811,-1.14,asia
190812,-0.99,asia
190901,-1.61,asia
190902,-0.08,asia
190903,-1.83,asia
190904,-0.3,asia
190905,-0.62,asia
190906,-0.74,asia
190907,0,asia
190908,0.09,asia
190909,-0.1,asia
190910,-0.27,asia
190911,0.63,asia
190912,0.19,asia
191001,-0.03,asia
191002,0.44,asia
191003,-1.34,asia
191004,-0.49,asia
191005,-0.17,asia
191006,-0.62,asia
191007,0.07,asia
191008,0.03,asia
191009,-0.5,asia
191010,-0.63,asia
191011,-1.09,asia
191012,-1.83,asia
191101,-1.19,asia
191102,-0.6,asia
191103,-1.66,asia
191104,0.18,asia
191105,-0.8,asia
191106,-0.31,asia
191107,-0.16,asia
191108,-0.3,asia
191109,-0.67,asia
191110,-0.55,asia
191111,0.5,asia
191112,-1.01,asia
191201,0.08,asia
191202,-0.4,asia
191203,-1.79,asia
191204,-0.12,asia
191205,-0.24,asia
191206,0.37,asia
191207,-0.83,asia
191208,-1.16,asia
191209,-1.19,asia
191210,-2.42,asia
191211,-0.92,asia
191212,-1.1,asia
191301,-0.39,asia
191302,-1.29,asia
191303,-0.44,asia
191304,-0.97,asia
191305,-0.58,asia
191306,-0.72,asia
191307,-0.6,asia
191308,-0.28,asia
191309,-0.22,asia
191310,-0.46,asia
191311,-0.17,asia
191312,1.07,asia
191401,1.33,asia
191402,1.7,asia
191403,-0.52,asia
191404,-0.58,asia
191405,-0.29,asia
191406,0.04,asia
191407,-0.34,asia
191408,-0.04,asia
191409,-0.02,asia
191410,-0.32,asia
191411,-0.5,asia
191412,0.49,asia
191501,-1.1,asia
191502,-0.57,asia
191503,-0.1,asia
191504,-0.21,asia
191505,0.69,asia
191506,0.21,asia
191507,0.05,asia
191508,-0.38,asia
191509,-0.34,asia
191510,-1.2,asia
191511,0.19,asia
191512,-0.56,asia
191601,0.55,asia
191602,-0.52,asia
191603,-1,asia
191604,-0.38,asia
191605,-0.5,asia
191606,-0.53,asia
191607,-0.29,asia
191608,-0.11,asia
191609,-0.39,asia
191610,-0.09,asia
191611,-1.08,asia
191612,-2.39,asia
191701,-0.49,asia
191702,-0.37,asia
191703,-1.11,asia
191704,-0.17,asia
191705,-0.17,asia
191706,-0.19,asia
191707,-0.06,asia
191708,-0.27,asia
191709,0.01,asia
191710,-0.52,asia
191711,-0.23,asia
191712,-0.85,asia
191801,0.02,asia
191802,-0.29,asia
191803,-0.07,asia
191804,-0.79,asia
191805,-0.95,asia
191806,-0.43,asia
191807,-0.34,asia
191808,-0.3,asia
191809,0.01,asia
191810,0.02,asia
191811,-0.58,asia
191812,-2.38,asia
191901,-2.3,asia
191902,-1.08,asia
191903,-1.01,asia
191904,0.28,asia
191905,-0.5,asia
191906,-0.5,asia
191907,-0.07,asia
191908,0.21,asia
191909,-0.08,asia
